id,country,status,amount
0,Hungary,pending,1835001.1155387058
1,Spain,pending,6676343.712851362
2,Sweden,pending,152321.74401068388
3,Slovenia,pending,9992978.929039659
4,Luxembourg,completed,829083.3660579666
5,Portugal,completed,5201210.016209901
6,Poland,failed,5154726.340375702
7,Romania,failed,8776733.62841317
8,Hungary,failed,2608501.0854088943
9,Greece,pending,4431524.165379775
10,Poland,failed,5366201.929665824
11,Latvia,completed,8311139.809509514
12,Portugal,pending,7032047.823032763
13,Estonia,completed,9915775.862288829
14,Slovenia,pending,7277487.627977163
15,Italy,failed,4630710.74156563
16,Romania,failed,212565.78001263793
17,Greece,pending,4273798.745946353
18,Austria,pending,1476118.2417043338
19,Belgium,pending,2782182.293081206
20,Italy,completed,7719626.02309481
21,Finland,completed,9345884.059474688
22,Croatia,completed,90648.63544637868
23,Malta,completed,1451067.7670061046
24,Austria,completed,4016581.5904650157
25,Lithuania,completed,5540900.443067736
26,Hungary,pending,664320.453445344
27,Poland,pending,6950309.195994741
28,Malta,failed,8000431.845935022
29,Italy,pending,3429130.247881138
30,Italy,pending,1515223.678058869
31,Czech Republic,pending,3665124.068868253
32,Germany,failed,4846376.103540559
33,Ireland,failed,3709270.8648541905
34,Croatia,completed,5938661.797502597
35,Greece,completed,182392.41117369966
36,Luxembourg,completed,5097027.68962254
37,Portugal,completed,9404537.102577027
38,Luxembourg,completed,4538217.525060744
39,Finland,completed,8545379.485279227
40,Luxembourg,pending,6850414.118474332
41,Latvia,pending,3202999.9350794735
42,United States,failed,6528478.967901437
43,United States,failed,392353.49438921706
44,Sweden,pending,3774716.2849832173
45,Italy,completed,7113962.979482013
46,Slovenia,completed,1955908.0383737648
47,France,pending,120055.21949043252
48,Lithuania,completed,3202234.283849189
49,Czech Republic,failed,4634686.344399682
50,Ireland,failed,2351788.1026112176
51,Estonia,completed,4314108.855862198
52,Denmark,failed,55844.26193175451
53,Poland,completed,3158847.5047703492
54,Germany,pending,4158858.8658994776
55,Hungary,pending,6982005.771346892
56,Spain,pending,3686352.9830987253
57,Bulgaria,completed,6344053.103298343
58,Netherlands,pending,5063265.049504544
59,United States,pending,5018354.520835243
60,Poland,completed,3800989.039517606
61,Netherlands,completed,8532219.716482012
62,Czech Republic,completed,9166644.32467633
63,Hungary,failed,3699735.817479417
64,Austria,completed,8619329.832531895
65,Romania,failed,6100854.786792717
66,Poland,failed,2016091.66441845
67,Austria,pending,7808217.539604219
68,Romania,failed,8172250.153494284
69,Lithuania,pending,9819869.306687687
70,Malta,failed,2960274.0357193723
71,France,completed,4250673.933443293
72,Slovakia,failed,6227714.626553766
73,Bulgaria,pending,3753394.013676549
74,Denmark,completed,8874700.215776999
75,France,failed,5347763.545274939
