country,average_outstanding,total_completed,critical_rate,error_rate
Austria,6414408,83390153,13.027509311044485,50.94719894723311
Belgium,3383576,91446711,10.67207929945816,23.63197101321821
Bulgaria,1147693,28303859,91.87057372689137,19.81624290309898
Croatia,9691300,75398781,86.74868223172442,53.68887796514012
Czech Republic,2771927,88180149,38.06749370488958,2.9195452529369947
Denmark,7031456,3286692,87.46528943895082,71.68542159551025
Estonia,1789468,75030378,48.48581644421655,49.92359918297871
Finland,9983493,7253392,44.01897865020453,11.9162927486974
France,7486601,54913827,97.02436016736677,50.19208854526999
Germany,6569612,12861283,30.01086872333999,84.1354255134062
Greece,8064243,24630260,48.14432306987753,83.87044058775564
Hungary,379045,74945601,68.74925648693998,56.564515605967415
Ireland,4143715,31291368,95.34989305959712,96.60881954438344
Italy,9442624,83210177,54.89704859842666,19.24691138179603
Latvia,2500747,28985657,62.55289699400145,45.7571334375338
Lithuania,6955391,52157729,14.019380371280876,8.82981682661217
Luxembourg,9377819,37869471,25.049087836617755,25.739536360674556
Malta,3656195,35651990,14.534884302593396,0.852967864380616
Netherlands,342189,94007442,89.38749887211353,59.25555545787762
Poland,3229799,29412954,32.64901685866509,71.64701927589147
Portugal,3279336,43895861,26.55460563220517,70.30713921696197
Romania,3735877,69868294,59.577551501956485,20.46619843667944
Slovakia,1779360,30101120,99.52139426403396,18.572015404819176
Slovenia,5769106,1257061,21.33834779436663,35.31060461611357
Spain,7798189,53856590,26.553574697306143,12.332754260632273
Sweden,1292232,22356372,5.766839119178391,41.858368007930345
United States,4427929,21559570,9.364514205122344,46.589897767941366
